graph,method,parameter,qps,recall_pct,severe,mean_dc,queries
Faiss-M32,ABS_CAP,12801000,216.78625849529183,99.43875,19,12800.0,8000
Faiss-M32,ABS_CAP,12800100,259.1995998393634,99.43625,19,10750.5265,8000
Faiss-M32,ABS_CAP,10241000,275.36601655222717,99.05874999999999,32,10240.0,8000
Faiss-M32,ABS_CAP,9601000,295.16054780575706,98.95625000000001,37,9600.0,8000
Faiss-M32,ABS_CAP,12800075,330.9610233346283,99.35750000000002,20,8422.950125,8000
Faiss-M32,ABS_CAP,8192100,383.8115177784395,98.69875,42,7464.009875,8000
Faiss-M32,ABS_CAP,12800060,446.23824782767036,99.00999999999999,26,6338.011625,8000
Faiss-M32,ABS_CAP,10240060,494.45550753275245,98.72625,37,5799.13,8000
Faiss-M32,ABS_CAP,9600050,658.6850668364033,97.96374999999999,57,4431.44925,8000
Faiss-M32,ABS_CAP,8192050,695.5694634457236,97.80875,60,4205.155625,8000
