graph,method,parameter,qps,recall_pct,severe,mean_dc,queries
Imported-s777,ABS_CAP,12801000,205.59305497922574,98.93124999999999,27,12800.0,8000
Imported-s777,ABS_CAP,10241000,261.27166176526526,98.51749999999998,49,10240.0,8000
Imported-s777,ABS_CAP,12800100,265.7343781696402,98.895,28,9924.561125,8000
Imported-s777,ABS_CAP,9601000,279.8740514292184,98.41250000000001,52,9600.0,8000
Imported-s777,ABS_CAP,8193000,331.58654879589955,98.15625000000001,58,8192.0,8000
Imported-s777,ABS_CAP,12800075,367.6317471977864,98.60625,32,7223.920375,8000
Imported-s777,ABS_CAP,10240075,415.2809759236239,98.26750000000001,52,6465.655875,8000
Imported-s777,ABS_CAP,12800060,522.7046643546804,97.7625,52,5153.75925,8000
Imported-s777,ABS_CAP,10240060,571.2838325889862,97.52499999999999,67,4786.76025,8000
Imported-s777,ABS_CAP,8192050,823.4420793141901,95.91499999999999,115,3399.3655,8000
