graph,method,parameter,qps,recall_pct,severe,mean_dc,queries
Faiss-M32,C,16000,171.88731562880673,99.68625,5,16000.0,8000
Faiss-M32,C,12800,218.47627647537132,99.43875,19,12800.0,8000
Faiss-M32,C,11264,250.83413126675273,99.23125,27,11264.0,8000
Faiss-M32,C,10240,277.2975500292822,99.05874999999999,32,10240.0,8000
Faiss-M32,C,9600,297.68137000462093,98.95625000000001,37,9600.0,8000
Faiss-M32,C,8192,350.1527246914332,98.69999999999999,42,8192.0,8000
Faiss-M32,C,6400,456.1961307784474,98.16499999999999,52,6400.0,8000
Faiss-M32,C,4096,738.4394761621122,96.23875,120,4096.0,8000
Faiss-M32,F,16000,168.83649893640066,99.72875,3,16000.0,8000
Faiss-M32,F,12800,213.5536801275519,99.595,5,12800.0,8000
Faiss-M32,F,11264,243.75603654778436,99.45875,8,11264.0,8000
Faiss-M32,F,10240,269.6429489556794,99.35125,9,10240.0,8000
Faiss-M32,F,9600,289.1904755543432,99.28875,9,9600.0,8000
Faiss-M32,F,8192,340.7810836107739,98.98125,12,8192.0,8000
Faiss-M32,F,6400,453.52270544275973,98.16625,52,6400.0,8000
Faiss-M32,F,4096,737.9218138189024,96.23875,120,4096.0,8000
Faiss-M32,NATIVE,1024,236.83392440395244,99.59374999999999,13,13871.842875,8000
Faiss-M32,NATIVE,896,274.1037834598339,99.46125,21,12453.15175,8000
Faiss-M32,NATIVE,768,322.80731160433066,99.32624999999999,27,10998.402125,8000
Faiss-M32,NATIVE,512,487.93312948674486,98.855,41,7943.746625,8000
Faiss-M32,NATIVE,256,931.34170705689,97.33625,88,4581.389125,8000
Faiss-M32,ABS,58,312.8203607978385,99.265,13,8613.392625,8000
Faiss-M32,ABS,55,362.2806232554841,99.01625,19,7534.818375,8000
Faiss-M32,ABS,50,467.7009943532436,98.54875,28,5982.6605,8000
Faiss-M32,ABS,40,803.0680774210427,96.59,75,3656.932125,8000
Faiss-M32,ABS,30,1427.0439818522816,92.96124999999999,174,2159.412875,8000
Faiss-M32,ABS_CAP,12801000,216.78625849529183,99.43875,19,12800.0,8000
Faiss-M32,ABS_CAP,12800100,259.1995998393634,99.43625,19,10750.5265,8000
Faiss-M32,ABS_CAP,10241000,275.36601655222717,99.05874999999999,32,10240.0,8000
Faiss-M32,ABS_CAP,9601000,295.16054780575706,98.95625000000001,37,9600.0,8000
