graph,method,actual_policy,cap,cap_k,recall_pct,severe,queries
Faiss-M32,C,C,8192,8.192,98.7,42,8000
Faiss-M32,C,C,10240,10.24,99.05874999999999,32,8000
Faiss-M32,C,C,12800,12.8,99.43875,19,8000
Faiss-M32,F,F,8192,8.192,98.98125,12,8000
Faiss-M32,F,F,10240,10.24,99.35125000000001,9,8000
Faiss-M32,F,F,12800,12.8,99.595,5,8000
Faiss-M32,MEP_DEV,MEP8,8192,8.192,98.91375,20,8000
Faiss-M32,MEP_DEV,MEP8,10240,10.24,99.23625,16,8000
Faiss-M32,MEP_DEV,MEP16,12800,12.8,99.5575,4,8000
Faiss-M32,FRONTIER,FRONTIER,8192,8.192,98.74875,37,8000
Faiss-M32,FRONTIER,FRONTIER,10240,10.24,99.075,29,8000
Faiss-M32,FRONTIER,FRONTIER,12800,12.8,99.42,19,8000
Imported-s42,C,C,8192,8.192,98.245,49,8000
Imported-s42,C,C,10240,10.24,98.6275,39,8000
Imported-s42,C,C,12800,12.8,99.015,22,8000
Imported-s42,F,F,8192,8.192,98.27749999999999,37,8000
Imported-s42,F,F,10240,10.24,98.84125,22,8000
Imported-s42,F,F,12800,12.8,99.15875,11,8000
Imported-s42,MEP_DEV,MEP1,8192,8.192,98.3175,42,8000
Imported-s42,MEP_DEV,MEP4,10240,10.24,98.73125,28,8000
Imported-s42,MEP_DEV,MEP16,12800,12.8,99.125,12,8000
Imported-s42,FRONTIER,FRONTIER,8192,8.192,98.1375,55,8000
Imported-s42,FRONTIER,FRONTIER,10240,10.24,98.64625000000001,35,8000
Imported-s42,FRONTIER,FRONTIER,12800,12.8,99.01124999999999,20,8000
Imported-s777,C,C,8192,8.192,98.15625,58,8000
Imported-s777,C,C,10240,10.24,98.5175,49,8000
Imported-s777,C,C,12800,12.8,98.93125,27,8000
Imported-s777,F,F,8192,8.192,98.4575,22,8000
Imported-s777,F,F,10240,10.24,98.91499999999999,14,8000
Imported-s777,F,F,12800,12.8,99.14874999999999,12,8000
Imported-s777,MEP_DEV,MEP8,8192,8.192,98.41499999999999,30,8000
Imported-s777,MEP_DEV,MEP4,10240,10.24,98.72,30,8000
Imported-s777,MEP_DEV,MEP16,12800,12.8,99.125,13,8000
Imported-s777,FRONTIER,FRONTIER,8192,8.192,98.06,56,8000
Imported-s777,FRONTIER,FRONTIER,10240,10.24,98.52374999999999,46,8000
Imported-s777,FRONTIER,FRONTIER,12800,12.8,98.9275,28,8000
Imported-s1234,C,C,8192,8.192,98.09,62,8000
Imported-s1234,C,C,10240,10.24,98.49875,51,8000
Imported-s1234,C,C,12800,12.8,98.91875,29,8000
Imported-s1234,F,F,8192,8.192,98.22625000000001,38,8000
Imported-s1234,F,F,10240,10.24,98.81,20,8000
Imported-s1234,F,F,12800,12.8,99.08125,15,8000
Imported-s1234,MEP_DEV,MEP8,8192,8.192,98.28375,40,8000
Imported-s1234,MEP_DEV,MEP16,10240,10.24,98.78375,24,8000
Imported-s1234,MEP_DEV,MEP4,12800,12.8,98.98375,23,8000
Imported-s1234,FRONTIER,FRONTIER,8192,8.192,98.05375,60,8000
Imported-s1234,FRONTIER,FRONTIER,10240,10.24,98.54125,45,8000
Imported-s1234,FRONTIER,FRONTIER,12800,12.8,98.9175,28,8000
