policy id ef gamma patience saturation cap
NATIVE 256 256 0 0 0 1000000
NATIVE 512 512 0 0 0 1000000
NATIVE 768 768 0 0 0 1000000
NATIVE 896 896 0 0 0 1000000
NATIVE 1024 1024 0 0 0 1000000
NATIVE 1280 1280 0 0 0 1000000
NATIVE 1536 1536 0 0 0 1000000
NATIVE 2048 2048 0 0 0 1000000
NATIVE 2500 2500 0 0 0 1000000
BEAM 512 512 0 0 0 1000000
BEAM 1024 1024 0 0 0 1000000
BEAM 2048 2048 0 0 0 1000000
BEAM 4096 4096 0 0 0 1000000
C 4096 0 0 0 0 4096
C 6400 0 0 0 0 6400
C 8192 0 0 0 0 8192
C 9600 0 0 0 0 9600
C 10240 0 0 0 0 10240
C 11264 0 0 0 0 11264
C 12800 0 0 0 0 12800
C 16000 0 0 0 0 16000
F 4096 0 0 0 0 4096
F 6400 0 0 0 0 6400
F 8192 0 0 0 0 8192
F 9600 0 0 0 0 9600
F 10240 0 0 0 0 10240
F 11264 0 0 0 0 11264
F 12800 0 0 0 0 12800
F 16000 0 0 0 0 16000
ABS 30 0 0.03 0 0 1000000
ABS 40 0 0.04 0 0 1000000
ABS 50 0 0.05 0 0 1000000
ABS 55 0 0.055 0 0 1000000
ABS 58 0 0.058 0 0 1000000
ABS 60 0 0.06 0 0 1000000
ABS 62 0 0.062 0 0 1000000
ABS 64 0 0.064 0 0 1000000
ABS 66 0 0.066 0 0 1000000
ABS 68 0 0.068 0 0 1000000
ABS 70 0 0.07 0 0 1000000
ABS 72 0 0.072 0 0 1000000
ABS 74 0 0.074 0 0 1000000
ABS 76 0 0.076 0 0 1000000
ABS 80 0 0.08 0 0 1000000
ABS 90 0 0.09 0 0 1000000
ABS_CAP 8192050 0 0.05 0 0 8192
ABS_CAP 8192060 0 0.06 0 0 8192
ABS_CAP 8192075 0 0.075 0 0 8192
ABS_CAP 8192100 0 0.1 0 0 8192
ABS_CAP 8193000 0 1.0 0 0 8192
ABS_CAP 9600050 0 0.05 0 0 9600
ABS_CAP 9600060 0 0.06 0 0 9600
ABS_CAP 9600075 0 0.075 0 0 9600
ABS_CAP 9600100 0 0.1 0 0 9600
ABS_CAP 9601000 0 1.0 0 0 9600
ABS_CAP 10240050 0 0.05 0 0 10240
ABS_CAP 10240060 0 0.06 0 0 10240
ABS_CAP 10240075 0 0.075 0 0 10240
ABS_CAP 10240100 0 0.1 0 0 10240
ABS_CAP 10241000 0 1.0 0 0 10240
ABS_CAP 12800050 0 0.05 0 0 12800
ABS_CAP 12800060 0 0.06 0 0 12800
ABS_CAP 12800075 0 0.075 0 0 12800
ABS_CAP 12800100 0 0.1 0 0 12800
ABS_CAP 12801000 0 1.0 0 0 12800
PIP 1 2048 0 100 0.95 1000000
PIP 2 2048 0 200 0.95 1000000
PIP 3 2048 0 400 0.95 1000000
PIP 4 2048 0 600 0.95 1000000
PIP 5 2048 0 800 0.95 1000000
PIP 6 2048 0 1200 0.95 1000000
PIP 7 2048 0 1800 0.95 1000000
PIP 8 2048 0 400 0.9 1000000
PIP 9 2048 0 800 0.9 1000000
PIP 10 2048 0 1200 0.9 1000000
PIP 11 4096 0 100 0.95 1000000
PIP 12 4096 0 200 0.95 1000000
PIP 13 4096 0 400 0.95 1000000
PIP 14 4096 0 600 0.95 1000000
PIP 15 4096 0 800 0.95 1000000
PIP 16 4096 0 1200 0.95 1000000
PIP 17 4096 0 1800 0.95 1000000
PIP 18 4096 0 400 0.9 1000000
PIP 19 4096 0 800 0.9 1000000
PIP 20 4096 0 1200 0.9 1000000
DARTH 800000 2500 0.8 0 0 1001000
DARTH 900000 2500 0.9 0 0 1001000
DARTH 950000 2500 0.95 0 0 1001000
DARTH 975000 2500 0.975 0 0 1001000
DARTH 990000 2500 0.99 0 0 1001000
DARTH 995000 2500 0.995 0 0 1001000
DARTH 999000 2500 0.999 0 0 1001000
DARTH 1000000 2500 1.0 0 0 1001000
ADA_EF 800000010 10 0.8 1025 0 1001000
ADA_EF 900000010 10 0.9 1025 0 1001000
ADA_EF 950000010 10 0.95 1025 0 1001000
ADA_EF 975000010 10 0.975 1025 0 1001000
ADA_EF 990000010 10 0.99 1025 0 1001000
ADA_EF 995000010 10 0.995 1025 0 1001000
ADA_EF 999000010 10 0.999 1025 0 1001000
ADA_EF 1000000010 10 1.0 1025 0 1001000
ADA_EF 800000512 512 0.8 1025 0 1001000
ADA_EF 900000512 512 0.9 1025 0 1001000
ADA_EF 950000512 512 0.95 1025 0 1001000
ADA_EF 975000512 512 0.975 1025 0 1001000
ADA_EF 990000512 512 0.99 1025 0 1001000
ADA_EF 995000512 512 0.995 1025 0 1001000
ADA_EF 999000512 512 0.999 1025 0 1001000
ADA_EF 1000000512 512 1.0 1025 0 1001000
ADA_EF 800001024 1024 0.8 1025 0 1001000
ADA_EF 900001024 1024 0.9 1025 0 1001000
ADA_EF 950001024 1024 0.95 1025 0 1001000
ADA_EF 975001024 1024 0.975 1025 0 1001000
ADA_EF 990001024 1024 0.99 1025 0 1001000
ADA_EF 995001024 1024 0.995 1025 0 1001000
ADA_EF 999001024 1024 0.999 1025 0 1001000
ADA_EF 1000001024 1024 1.0 1025 0 1001000
ADA_BASE 800000010 10 0.8 1025 0 1001000
ADA_BASE 900000010 10 0.9 1025 0 1001000
ADA_BASE 950000010 10 0.95 1025 0 1001000
ADA_BASE 975000010 10 0.975 1025 0 1001000
ADA_BASE 990000010 10 0.99 1025 0 1001000
ADA_BASE 995000010 10 0.995 1025 0 1001000
ADA_BASE 999000010 10 0.999 1025 0 1001000
ADA_BASE 1000000010 10 1.0 1025 0 1001000
D_BEAM 512 512 0 0 0 1001000
D_BEAM 1024 1024 0 0 0 1001000
D_BEAM 2048 2048 0 0 0 1001000
D_BEAM 2500 2500 0 0 0 1001000
A_BEAM 128 128 0 0 0 1001000
A_BEAM 512 512 0 0 0 1001000
A_BEAM 1024 1024 0 0 0 1001000
A_BEAM 2048 2048 0 0 0 1001000
