seed,qid,position,policy,primary_hits,post_scout_hits,final_hits,dc,scout_dc
42,100001,0,C,10,10,10,7326,0
42,100001,0,L_LOCAL,10,10,10,7326,1229
42,100001,0,L_GLOBAL,10,10,10,7326,205
42,100001,0,L_NONE,10,10,10,7326,1515
42,100001,0,A_LOCAL,10,10,10,7326,1229
42,100001,0,A_GLOBAL,10,10,10,7326,205
42,100001,0,A_NONE,10,10,10,7326,1600
42,100008,1,C,10,10,10,12800,0
42,100008,1,L_LOCAL,10,10,10,12800,1257
42,100008,1,L_GLOBAL,10,10,10,12800,212
42,100008,1,L_NONE,10,10,10,12800,1600
42,100008,1,A_LOCAL,10,10,10,12800,1257
42,100008,1,A_GLOBAL,10,10,10,12800,212
42,100008,1,A_NONE,10,10,10,12800,1600
42,100009,2,C,9,9,9,12800,0
42,100009,2,L_LOCAL,9,9,9,12800,1443
42,100009,2,L_GLOBAL,9,9,9,12800,169
42,100009,2,L_NONE,9,9,9,12800,1600
42,100009,2,A_LOCAL,9,9,9,12800,1443
42,100009,2,A_GLOBAL,9,9,9,12800,169
42,100009,2,A_NONE,9,9,9,12800,1600
42,100010,3,C,10,10,10,12800,0
42,100010,3,L_LOCAL,10,10,10,12800,1330
42,100010,3,L_GLOBAL,10,10,10,12800,334
42,100010,3,L_NONE,10,10,10,12800,1600
42,100010,3,A_LOCAL,10,10,10,12800,1330
42,100010,3,A_GLOBAL,10,10,10,12800,334
42,100010,3,A_NONE,10,10,10,12800,1600
42,100011,4,C,10,10,10,10599,0
42,100011,4,L_LOCAL,10,10,10,10599,1261
42,100011,4,L_GLOBAL,10,10,10,10599,191
42,100011,4,L_NONE,10,10,10,10599,1600
42,100011,4,A_LOCAL,10,10,10,10599,1261
42,100011,4,A_GLOBAL,10,10,10,10599,191
42,100011,4,A_NONE,10,10,10,10599,1600
42,100014,5,C,10,10,10,12800,0
42,100014,5,L_LOCAL,10,10,10,12800,1022
42,100014,5,L_GLOBAL,10,10,10,12800,268
42,100014,5,L_NONE,10,10,10,12800,1600
42,100014,5,A_LOCAL,10,10,10,12800,1022
42,100014,5,A_GLOBAL,10,10,10,12800,268
42,100014,5,A_NONE,10,10,10,12800,1600
42,100016,6,C,10,10,10,9107,0
42,100016,6,L_LOCAL,10,10,10,9107,1463
42,100016,6,L_GLOBAL,10,10,10,9107,191
42,100016,6,L_NONE,10,10,10,9107,1600
42,100016,6,A_LOCAL,10,10,10,9107,1463
42,100016,6,A_GLOBAL,10,10,10,9107,191
42,100016,6,A_NONE,10,10,10,9107,1600
42,100018,7,C,10,10,10,9255,0
42,100018,7,L_LOCAL,10,10,10,9255,1361
42,100018,7,L_GLOBAL,10,10,10,9255,315
42,100018,7,L_NONE,10,10,10,9255,1600
42,100018,7,A_LOCAL,10,10,10,9255,1361
42,100018,7,A_GLOBAL,10,10,10,9255,315
42,100018,7,A_NONE,10,10,10,9255,1600
42,100021,8,C,10,10,10,8788,0
42,100021,8,L_LOCAL,10,10,10,8788,1239
42,100021,8,L_GLOBAL,10,10,10,8788,306
42,100021,8,L_NONE,10,10,10,8788,1600
42,100021,8,A_LOCAL,10,10,10,8788,1239
42,100021,8,A_GLOBAL,10,10,10,8788,306
42,100021,8,A_NONE,10,10,10,8788,1600
42,100023,9,C,10,10,10,12800,0
42,100023,9,L_LOCAL,10,10,10,12800,1388
42,100023,9,L_GLOBAL,10,10,10,12800,229
42,100023,9,L_NONE,10,10,10,12800,1600
42,100023,9,A_LOCAL,10,10,10,12800,1388
42,100023,9,A_GLOBAL,10,10,10,12800,229
42,100023,9,A_NONE,10,10,10,12800,1600
42,100024,10,C,10,10,10,8635,0
42,100024,10,L_LOCAL,10,10,10,8635,1384
42,100024,10,L_GLOBAL,10,10,10,8635,285
42,100024,10,L_NONE,10,10,10,8635,1600
42,100024,10,A_LOCAL,10,10,10,8635,1384
42,100024,10,A_GLOBAL,10,10,10,8635,285
42,100024,10,A_NONE,10,10,10,8635,1600
42,100025,11,C,9,9,10,9178,0
42,100025,11,L_LOCAL,9,9,10,9178,1274
42,100025,11,L_GLOBAL,9,9,10,9178,161
42,100025,11,L_NONE,9,9,10,9178,1600
42,100025,11,A_LOCAL,9,9,10,9178,1274
42,100025,11,A_GLOBAL,9,9,10,9178,161
42,100025,11,A_NONE,9,9,10,9178,1600
42,100027,12,C,10,10,10,12800,0
42,100027,12,L_LOCAL,10,10,10,12800,1580
42,100027,12,L_GLOBAL,10,10,10,12800,150
42,100027,12,L_NONE,10,10,10,12800,1600
42,100027,12,A_LOCAL,10,10,10,12800,1580
42,100027,12,A_GLOBAL,10,10,10,12800,150
42,100027,12,A_NONE,10,10,10,12800,1600
42,100028,13,C,10,10,10,12800,0
42,100028,13,L_LOCAL,10,10,10,12800,1009
42,100028,13,L_GLOBAL,10,10,10,12800,268
42,100028,13,L_NONE,10,10,10,12800,1527
42,100028,13,A_LOCAL,10,10,10,12800,1009
42,100028,13,A_GLOBAL,10,10,10,12800,268
42,100028,13,A_NONE,10,10,10,12800,1600
42,100029,14,C,10,10,10,9035,0
42,100029,14,L_LOCAL,10,10,10,9035,1600
42,100029,14,L_GLOBAL,10,10,10,9035,277
42,100029,14,L_NONE,10,10,10,9035,1600
42,100029,14,A_LOCAL,10,10,10,9035,1600
42,100029,14,A_GLOBAL,10,10,10,9035,277
42,100029,14,A_NONE,10,10,10,9035,1600
42,100030,15,C,10,10,10,12800,0
42,100030,15,L_LOCAL,10,10,10,12800,1445
42,100030,15,L_GLOBAL,10,10,10,12800,230
42,100030,15,L_NONE,10,10,10,12800,1600
42,100030,15,A_LOCAL,10,10,10,12800,1445
42,100030,15,A_GLOBAL,10,10,10,12800,230
42,100030,15,A_NONE,10,10,10,12800,1600
42,100033,16,C,10,10,10,11431,0
42,100033,16,L_LOCAL,10,10,10,11431,1381
42,100033,16,L_GLOBAL,10,10,10,11431,211
42,100033,16,L_NONE,10,10,10,11431,1600
42,100033,16,A_LOCAL,10,10,10,11431,1381
42,100033,16,A_GLOBAL,10,10,10,11431,211
42,100033,16,A_NONE,10,10,10,11431,1600
42,100037,17,C,10,10,10,9422,0
42,100037,17,L_LOCAL,10,10,10,9422,1416
42,100037,17,L_GLOBAL,10,10,10,9422,239
42,100037,17,L_NONE,10,10,10,9422,1600
42,100037,17,A_LOCAL,10,10,10,9422,1416
42,100037,17,A_GLOBAL,10,10,10,9422,239
42,100037,17,A_NONE,10,10,10,9422,1600
42,100038,18,C,10,10,10,12800,0
42,100038,18,L_LOCAL,10,10,10,12800,1363
42,100038,18,L_GLOBAL,10,10,10,12800,276
42,100038,18,L_NONE,10,10,10,12800,1600
42,100038,18,A_LOCAL,10,10,10,12800,1363
42,100038,18,A_GLOBAL,10,10,10,12800,276
42,100038,18,A_NONE,10,10,10,12800,1600
42,100041,19,C,10,10,10,12800,0
42,100041,19,L_LOCAL,10,10,10,12800,1444
42,100041,19,L_GLOBAL,10,10,10,12800,238
42,100041,19,L_NONE,10,10,10,12800,1600
42,100041,19,A_LOCAL,10,10,10,12800,1444
42,100041,19,A_GLOBAL,10,10,10,12800,238
42,100041,19,A_NONE,10,10,10,12800,1600
42,100052,20,C,10,10,10,12800,0
42,100052,20,L_LOCAL,10,10,10,12800,1281
42,100052,20,L_GLOBAL,10,10,10,12800,252
42,100052,20,L_NONE,10,10,10,12800,1600
42,100052,20,A_LOCAL,10,10,10,12800,1281
42,100052,20,A_GLOBAL,10,10,10,12800,252
42,100052,20,A_NONE,10,10,10,12800,1600
42,100063,21,C,10,10,10,8404,0
42,100063,21,L_LOCAL,10,10,10,8404,1409
42,100063,21,L_GLOBAL,10,10,10,8404,168
42,100063,21,L_NONE,10,10,10,8404,1600
42,100063,21,A_LOCAL,10,10,10,8404,1409
42,100063,21,A_GLOBAL,10,10,10,8404,168
42,100063,21,A_NONE,10,10,10,8404,1600
42,100065,22,C,10,10,10,8174,0
42,100065,22,L_LOCAL,10,10,10,8174,1398
42,100065,22,L_GLOBAL,10,10,10,8174,221
42,100065,22,L_NONE,10,10,10,8174,1600
42,100065,22,A_LOCAL,10,10,10,8174,1398
42,100065,22,A_GLOBAL,10,10,10,8174,221
42,100065,22,A_NONE,10,10,10,8174,1600
42,100066,23,C,10,10,10,12800,0
42,100066,23,L_LOCAL,10,10,10,12800,1158
42,100066,23,L_GLOBAL,10,10,10,12800,230
42,100066,23,L_NONE,10,10,10,12800,1600
42,100066,23,A_LOCAL,10,10,10,12800,1158
42,100066,23,A_GLOBAL,10,10,10,12800,230
42,100066,23,A_NONE,10,10,10,12800,1600
42,100072,24,C,10,10,10,8297,0
42,100072,24,L_LOCAL,10,10,10,8297,1338
42,100072,24,L_GLOBAL,10,10,10,8297,274
42,100072,24,L_NONE,10,10,10,8297,1600
42,100072,24,A_LOCAL,10,10,10,8297,1338
42,100072,24,A_GLOBAL,10,10,10,8297,274
42,100072,24,A_NONE,10,10,10,8297,1600
42,100075,25,C,10,10,10,11155,0
42,100075,25,L_LOCAL,10,10,10,11155,1047
42,100075,25,L_GLOBAL,10,10,10,11155,297
42,100075,25,L_NONE,10,10,10,11155,1600
42,100075,25,A_LOCAL,10,10,10,11155,1047
42,100075,25,A_GLOBAL,10,10,10,11155,297
42,100075,25,A_NONE,10,10,10,11155,1600
42,100081,26,C,10,10,10,8422,0
42,100081,26,L_LOCAL,10,10,10,8422,1590
42,100081,26,L_GLOBAL,10,10,10,8422,160
42,100081,26,L_NONE,10,10,10,8422,1600
42,100081,26,A_LOCAL,10,10,10,8422,1590
42,100081,26,A_GLOBAL,10,10,10,8422,160
42,100081,26,A_NONE,10,10,10,8422,1600
42,100085,27,C,10,10,10,12800,0
42,100085,27,L_LOCAL,10,10,10,12800,1518
42,100085,27,L_GLOBAL,10,10,10,12800,199
42,100085,27,L_NONE,10,10,10,12800,1600
42,100085,27,A_LOCAL,10,10,10,12800,1518
42,100085,27,A_GLOBAL,10,10,10,12800,199
42,100085,27,A_NONE,10,10,10,12800,1600
42,100089,28,C,10,10,10,8699,0
42,100089,28,L_LOCAL,10,10,10,8699,1419
42,100089,28,L_GLOBAL,10,10,10,8699,243
42,100089,28,L_NONE,10,10,10,8699,1600
42,100089,28,A_LOCAL,10,10,10,8699,1419
42,100089,28,A_GLOBAL,10,10,10,8699,243
42,100089,28,A_NONE,10,10,10,8699,1600
42,100093,29,C,10,10,10,8789,0
42,100093,29,L_LOCAL,10,10,10,8789,1558
42,100093,29,L_GLOBAL,10,10,10,8789,328
42,100093,29,L_NONE,10,10,10,8789,1600
42,100093,29,A_LOCAL,10,10,10,8789,1558
42,100093,29,A_GLOBAL,10,10,10,8789,328
42,100093,29,A_NONE,10,10,10,8789,1600
42,100097,30,C,10,10,10,11067,0
42,100097,30,L_LOCAL,10,10,10,11067,1377
42,100097,30,L_GLOBAL,10,10,10,11067,179
42,100097,30,L_NONE,10,10,10,11067,1600
42,100097,30,A_LOCAL,10,10,10,11067,1377
42,100097,30,A_GLOBAL,10,10,10,11067,179
42,100097,30,A_NONE,10,10,10,11067,1600
42,100100,31,C,10,10,10,12800,0
42,100100,31,L_LOCAL,10,10,10,12800,1211
42,100100,31,L_GLOBAL,10,10,10,12800,159
42,100100,31,L_NONE,10,10,10,12800,1600
42,100100,31,A_LOCAL,10,10,10,12800,1211
42,100100,31,A_GLOBAL,10,10,10,12800,159
42,100100,31,A_NONE,10,10,10,12800,1600
42,100101,32,C,10,10,10,12800,0
42,100101,32,L_LOCAL,10,10,10,12800,1320
42,100101,32,L_GLOBAL,10,10,10,12800,264
42,100101,32,L_NONE,10,10,10,12800,1600
42,100101,32,A_LOCAL,10,10,10,12800,1320
42,100101,32,A_GLOBAL,10,10,10,12800,264
42,100101,32,A_NONE,10,10,10,12800,1600
42,100104,33,C,10,10,10,12800,0
42,100104,33,L_LOCAL,10,10,10,12800,1423
42,100104,33,L_GLOBAL,10,10,10,12800,258
42,100104,33,L_NONE,10,10,10,12800,1600
42,100104,33,A_LOCAL,10,10,10,12800,1423
42,100104,33,A_GLOBAL,10,10,10,12800,258
42,100104,33,A_NONE,10,10,10,12800,1600
42,100107,34,C,10,10,10,9313,0
42,100107,34,L_LOCAL,10,10,10,9313,1426
42,100107,34,L_GLOBAL,10,10,10,9313,201
42,100107,34,L_NONE,10,10,10,9313,1600
42,100107,34,A_LOCAL,10,10,10,9313,1426
42,100107,34,A_GLOBAL,10,10,10,9313,201
42,100107,34,A_NONE,10,10,10,9313,1600
42,100115,35,C,10,10,10,11449,0
42,100115,35,L_LOCAL,10,10,10,11449,1367
42,100115,35,L_GLOBAL,10,10,10,11449,288
42,100115,35,L_NONE,10,10,10,11449,1600
42,100115,35,A_LOCAL,10,10,10,11449,1367
42,100115,35,A_GLOBAL,10,10,10,11449,288
42,100115,35,A_NONE,10,10,10,11449,1600
42,100123,36,C,10,10,10,12800,0
42,100123,36,L_LOCAL,10,10,10,12800,1012
42,100123,36,L_GLOBAL,10,10,10,12800,221
42,100123,36,L_NONE,10,10,10,12800,1600
42,100123,36,A_LOCAL,10,10,10,12800,1012
42,100123,36,A_GLOBAL,10,10,10,12800,221
42,100123,36,A_NONE,10,10,10,12800,1600
42,100126,37,C,9,9,9,12800,0
42,100126,37,L_LOCAL,9,9,9,12800,1082
42,100126,37,L_GLOBAL,9,9,9,12800,239
42,100126,37,L_NONE,9,9,9,12800,1473
42,100126,37,A_LOCAL,9,9,9,12800,1082
42,100126,37,A_GLOBAL,9,9,9,12800,239
42,100126,37,A_NONE,9,9,9,12800,1600
42,100127,38,C,10,10,10,12800,0
42,100127,38,L_LOCAL,10,10,10,12800,1592
42,100127,38,L_GLOBAL,10,10,10,12800,266
42,100127,38,L_NONE,10,10,10,12800,1600
42,100127,38,A_LOCAL,10,10,10,12800,1592
42,100127,38,A_GLOBAL,10,10,10,12800,266
42,100127,38,A_NONE,10,10,10,12800,1600
42,100131,39,C,10,10,10,9134,0
42,100131,39,L_LOCAL,10,10,10,9134,1474
42,100131,39,L_GLOBAL,10,10,10,9134,234
42,100131,39,L_NONE,10,10,10,9134,1600
42,100131,39,A_LOCAL,10,10,10,9134,1474
42,100131,39,A_GLOBAL,10,10,10,9134,234
42,100131,39,A_NONE,10,10,10,9134,1600
42,100137,40,C,10,10,10,12800,0
42,100137,40,L_LOCAL,10,10,10,12800,1256
42,100137,40,L_GLOBAL,10,10,10,12800,181
42,100137,40,L_NONE,10,10,10,12800,1600
42,100137,40,A_LOCAL,10,10,10,12800,1256
42,100137,40,A_GLOBAL,10,10,10,12800,181
42,100137,40,A_NONE,10,10,10,12800,1600
42,100138,41,C,10,10,10,12367,0
42,100138,41,L_LOCAL,10,10,10,12367,1382
42,100138,41,L_GLOBAL,10,10,10,12367,168
42,100138,41,L_NONE,10,10,10,12367,1600
42,100138,41,A_LOCAL,10,10,10,12367,1382
42,100138,41,A_GLOBAL,10,10,10,12367,168
